ssdl:pid,ssdl:notation
1851-Christ-UKY,Numeral
1858-Christ-UKY,Nil
1866-Christ-UKY,Nil
1872-Collec-UKY,Nil
1872-Gloryc-UKY,Round
1878-Hymna1-UKY,Nil
1895-Voice2-UKY,Seven-shape Aikin
1925-Bookof-UKY,Round
1853-Shawml-UKY,Round
1870-NewChr-UKY,Round;Numeral staff;Eureka clef
1871-Sparkl-UKY,Round
1872-Hymnso-UKY,
1886-Carolb-UKY,Round
1894-Tearsa-UKY,Seven-shape Aikin;Round
1897-Tearsa-UKY,Round
1902-Singin-UKY,Seven-shape Aikin
1906-Creamo-UKY,Round
1909-Briefh-UKY,Round
1915-Soulst-UKY,Seven-shape Aikin
1919-Navyso-UKY,Round
1921-Waveso-UKY,
1875-Choira-UKY,Round
1882-Christ-UKY,Round
1885-Christ-UKY,Nil
1898-Crowni-UKY,Round
1901-Planta-UKY,Round
1908-Crowni-UKY-deprecated,
1911-Neweva-UKY,Round
1917-Nobody-UKY,Round
1918-Bigqua-UKY,Seven-shape Aikin
1918-ChantN-UKY,Round
1919-Things-UKY,Round
1924-Fiftye-UKY,Round
1925-Twelve-UKY,Round;Numeral
1926-Dontle-UKY,Round
192x-Wonder-UKY,Seven-shape Aikin
1877-Choice-UKY,Nil
1878-Gabrie-UKY,Seven-shape Aikin
1881-Crowno-UKY,Seven-shape Aikin
1883-Christ-UKY,Round
1892-Founta-UKY,Seven-shape Aikin
1895-Christ-UKY,Round
1907-Fiftyt-UKY,Nil
1908-Crowni-UKY,Round
1911-Greate-UKY,Seven-shape Aikin
1916-Golden-UKY,Seven-shape Aikin
1916-Gospel-UKY,Round
1922-Firstb-UKY,Round
1873-Hermon-UKY,Round
1879-Joytow-UKY,Round
1881-Greatj-UKY,Round
1882-Hourso-UKY,Seven-shape Aikin
1884-Gospel-UKY,Round
1887-Harves-UKY,Round
1889-Neuekl-UKY,
1890-Evange-UKY,Round
1892-Garner-UKY,Round
1894-Himnar-UKY,
1901-Hymnso-UKY,Round
1903-Joyful-UKY,Seven-shape Aikin
1910-Gospel-UKY,Round
1911-Hymnso-UKY,Round
1924-Fullgo-UKY,Round;Seven-shape Aikin
1859-Pastor-UKY,Round
1874-Palmer-UKY,Round
1879-Newcho-UKY,Round
1880-Sharon-UKY,
1886-Newsta-UKY,Seven-shape Aikin
1887-NewChr-UKY,Round
1891-Perenn-UKY,Round
1894-Newlif-UKY,Round
1895-Newtun-UKY,Round
1899-Notes1-UKY,Round
1907-NewChr-UKY,Round
1925-Realiz-UKY,Round
1853-Prairi-UKY,Round
1851-Christ-UMI,Seven-shape Aikin
1858-Harmon-UMI,Seven-shape Funk
1858-Jubile-UMI,
1861-Soldie-UMI,Nil
1867-Slaves-UMI,Round
1871-Harmon-UMI,Seven-shape Funk
1872-Brethr-UMI,Seven-shape Funk
1872-Jubile-UMI,Round
1878-Himnar-UMI,
1878-Keepin-UMI,Round
1880-Gospel-UMI,Round
1880-Dontyo-UMI,Round
1880-Risemy-UMI,Round
1880-Waitmy-UMI,Round
1881-Gospel-UMI,Round
1882-Songso-UMI,Seven-shape Hood
1884-Goodti-UMI,Seven-shape Aikin
1884-Select-UMI,Round
1887-Gospel-UMI,Round
1894-Spirit-UMI,Round;Seven-shape Aikin
1895-Gospel-UMI,Round
1897-Songso-UMI,Round
1898-Chorus-UMI,Round
1850-Southe-EMU,Four-shape
1853-Americ-EMU,Four-shape
1872-Palmer-EMU,Round
1875-Collec-EMU,Nil
1877-Royalf-EMU,Round
