ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1882-Singin-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1882,Singing on the Way
1883-Better-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1883?,Better than Gold
1883-Bookof-EMU,Round,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1883,A Book of Worship
1883-Duplex-EMU,Round,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1883,The Duplex Hymn and Tune Book
1883-Holyvo-EMU,Round,"Dayton, OH",http://vocab.getty.edu/page/tgn/7013511,1883,Holy Voices
1883-Lovean-EMU,Seven-shape Aikin,"Savannah, GA",http://vocab.getty.edu/page/tgn/7014487,1883,Love and Praise
1883-Purede-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1883,Pure Delight!
1883-Select-EMU,Round,"Richmond, VA",http://vocab.getty.edu/page/tgn/7013964,1883,Selections for Social and Public Praise
1883-Shaker-EMU,Round,"Shaker Village, NH",http://vocab.getty.edu/page/tgn/2654704,1883,Shaker Anthems and Hymns
1883-Songso-EMU,Round,"Cincinnati, OH;Chicago, IL;St. Louis, MO",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444,1883,Songs of Free Grace
1883-Teache-EMU,Round,"Cincinnati, OH;St. Louis, MO",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7014444,1883,Teachers' Edition of the New Christian Hymn and Tune-book
1883-Triune-EMU,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1883,Triune Hymnal
1883-Voiceo-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1883,The Voice of Joy
1884-Congre-EMU,Numeral staff,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1883,The Congregation
1884-Consol-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596,1884,Consolation
1884-Everla-EMU,Round,"Galveston, TX",http://vocab.getty.edu/page/tgn/7014041,1884,The Everlasting Joy
1884-Gospel-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1884,Gospel Music
1884-Gratef-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1884,Grateful Praise
1884-Harves-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1884,Harvest Bells No. 2
1884-Hymnbo-EMU,Nil,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1884,The Hymn Book of the African Methodist Episcopal Church
1884-Jesus1-EMU,Round,"Cincinnati, OH; New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1884,Jesus of Nazareth in Prophecy and Fulfillment
1884-Ourson-EMU,Round,"Cincinnati, OH;New York, NY;Chicago, IL",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596,1884,Our Song World
1884-Praise-EMU,Numeral staff,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1884,Praise and Rejoicing
1884-Sabbat-EMU,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1884,Sabbath Bells
1884-Temple-EMU,Seven-shape Aikin,"Cincinnati, OH;Chicago, IL;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7007567,1884,The Temple of Song
1885-Freshf-EMU,Round,"Boston, MA;New York, NY;Philadelphia, PA;Chicago, IL",http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/7013596,1885,Fresh Flowers
1885-Golden-EMU,Round,"Romney, WV",http://vocab.getty.edu/page/tgn/2119828,1885,"The Golden Sheaf, No. 1"
1885-Holyma-EMU,Round,"Columbia, TN",http://vocab.getty.edu/page/tgn/2098585,1885,Holy Manna
1885-Lofzan-EMU,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1885,Lofzangen
