FILENAME ID,HEIGHT,WIDTH,FROM
1860-Hymnss-SBT,11,7.5,
1862-Sunday-SBT,13,9.5,
1865-Sunday-SBT,11,7,
1867-Gladti-SBT,12.5,15.5,
1870-Vocali-SBT,16.5,25,
1871-Linton-SBT,12.5,16,
1871-NewChr-SBT,19,12.5,
1873-NewBa1-SBT,17.5,12,
1873-NewBa2-SBT,?,?,
1878-Newgos-SBT,21,14,
1879-Newlif-SBT,14.5,18,
1881-Nearer-SBT,?,?,
1884-Kleine-SBT,15.5,11.5,
1887-Hymnsn-SBT,20,14,
1888-Favori-SBT,13.5,17.5,
1888-Temple-SBT,20.5,13.5,
1889-Stouth-SBT,13,9.5,
1891-Choice-SBT,13,9,
1891-Hymnsn-SBT,20.5,14,
1892-Choice-SBT,21,15,
1892-Manlys-SBT,?,?,
1893-Manlys-SBT,?,?,
1895-Dawnin-SBT,20.5,14,
1895-Spirit-SBT,21.5,15,
1898-Lieder-SBT,18.5,21.5,
1899-Salvat-SBT,19,13,
189x-Select-SBT,19.5,13,
18xx-Little-SBT,10,6.5,
18xx-Newcel-SBT,11,7.5,
1900-Church-SBT,21.5,15,
1900-Newson-SBT,21,14,
1900-Sacred-SBT,19.5,13.5,
1901-Lastin-SBT,20.5,14.5,
1901-Psalli-SBT,17.5,12,
1901-Sunday-SBT,21.5,15.5,
1902-Sacred-SBT,20,14.5,
1903-Hymnso-SBT,19.5,14,
1904-Praise-SBT,20,13.5,
1905-Newson-SBT,21.5,15,
1906-Songev-SBT,?,?,
1908-Gemsof-SBT,20,14,
1908-Progra-SBT,22.5,15,
1908-Reviva-SBT,20,14,
1909-Melodi-SBT,20.5,13.5,
1909-Newglo-SBT,19.5,14,
1909-Primit-SBT,20.5,15,
1909-Singet-SBT,20,14,
1909-Starof-SBT,19.5,14,
190x-Callne-SBT,19.5,13.5,
1911-Harpof-SBT,19,13,
1911-Newson-SBT,20,14,
1912-Bestre-SBT,19.5,13,
1912-Emanue-SBT,19,13.5,
1913-Songsa-SBT,20.5,14,
1914-Glorio-SBT,19.5,13.5,
1914-Songso-SBT,20,14,
1914-Studen-SBT,18.5,13,
1915-Kingof-SBT,20,14.5,
1915-Redemp-SBT,19.5,13.5,
1915-Songha-SBT,19.5,13.5,
1916-Gospel-SBT,19.5,13.5,
1917-Synago-SBT,35,28,
1918-Northf-SBT,20,14,
1918-popula-SBT,20,13.5,
1919-Hesju1-SBT,30.5,23,
1919-Hesju2-SBT,30.5,23,
1919-Hymnso-SBT,19,13.5,
1919-Majest-SBT,19.5,13.5,
191x-Sacred-SBT,15,11,
1920-Gospel-SBT,19.5,14,
1921-Liftev-SBT,30,23,
1923-Silver-SBT,19.5,13.5,
1924-Gospel-SBT,19,13.5,
1924-Gracea-SBT,20,14,
1924-Ourjoy-SBT,19,13.5,
1924-Songpr-SBT,19.5,13.5,
1925-Christ-SBT,20,13.5,
1925-Hymnso-SBT,20.5,15,
1925-KingJe-SBT,26,17.5,
1925-Singhi-SBT,19.5,13,
1929-Souli1-SBT,19.5,13.5,
1929-Souli2-SBT,19.5,13.5,
1931-Evange-SBT,21.5,14.5,
1931-Glorio-SBT,21.5,15.5,
19xx-Hymnss-SBT,13,10,
19xx-Reviva-SBT,19.5,13.5,
19xx-Robins-SBT,20.5,14,
19xx-Whenmi-SBT,20,12.5,SBTS1
185x-Annive-SBT,11.5,14.5,
1898-Lieder-SBT,18.5,21.5,
1917-Synago-SBT,35,28,
1873-NewBa1-SBT,17.5,12,
1906-Songev-SBT,?,?,
1921-Liftev-SBT,30,23,
1852-Zionsh-SBT,13,9,
1857-Sacred-SBT,16,25,
1897-Riches-SBT,?,?,SBTS2
1851-Christ-UMI,16 cm,25 cm,
1855-Presby-UMI,17 cm,26 cm,
1858-Harmon-UMI,15cm,24cm,
1858-Jubile-UMI,17 cm,25 cm,
1861-Soldie-UMI,12 cm,8 cm,
1871-Harmon-UMI,16 cm,25 cm,
1872-Brethr-UMI,20 cm,14 cm,
1872-Jubile-UMI,25cm,16cm,
1872-Songqu-UMI,16 cm,24 cm,
1875-Singin-UMI,20 cm,14 cm,
1876-Gospel-UMI,21 cm,14 cm,
1876-Rosecr-UMI,20 cm,18 cm,
1878-Himnar-UMI,22 cm,16 cm,
1878-Keepin-UMI,35 cm,27 cm,
1879-Gospel-UMI,20 cm,13 cm,
1880-Dontyo-UMI,35 cm,27 cm,
1880-Gospel-UMI,35 cm,27 cm,
1880-Risemy-UMI,35 cm,27 cm,
1880-Waitmy-UMI,35 cm,27 cm,
