ssdl:pid,ssdl:placeOfContributorAffiliation,ssdl:placeOfContributorAffiliationUri,ssdl:dateOfPublication,ssdl:shortTitle
1884-Sabbat-EMU,"United States, Virginia, Rockingham, Dayton;United States, Georgia, Whitfield, Dalton;United States, Ohio, Clark, Pike;United States, Connecticut, Hartford, Hartford",http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/1002274;http://vocab.getty.edu/page/tgn/7013695,1884,Sabbath Bells
1884-Temple-EMU,"United States, Georgia, Whitfield, Dalton;United States, Virginia, Rockingham, Dayton",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/2111441,1884,The Temple of Song
1885-Freshf-EMU,"United States, Maryland, independent city, Baltimore",http://vocab.getty.edu/page/tgn/7013352,1885,Fresh Flowers
1885-Golden-EMU,"United States, West Virginia, Hampshire, Romney",http://vocab.getty.edu/page/tgn/2119828,1885,"The Golden Sheaf, No. 1"
1885-Holyma-EMU,"United States, Tennessee, Maury, Columbia",http://vocab.getty.edu/page/tgn/2098585,1885,Holy Manna
1885-Lofzan-EMU,"United States, Michigan, Ottawa, Zeeland;United States, Michigan, Kent, Grand Rapids",http://vocab.getty.edu/page/tgn/2053800;http://vocab.getty.edu/page/tgn/7014126,1885,Lofzangen
1885-Popula-EMU,"United States, Kentucky, Jefferson, Louisville",http://vocab.getty.edu/page/tgn/7013915,1885,Popular Hymns Revised
1885-Revise-EMU,"United States, Virginia, independent city, Richmond",http://vocab.getty.edu/page/tgn/7013964,1885,Revised Hymns
1885-Zionso-EMU,"United States, Virginia, Rockingham, Dayton",http://vocab.getty.edu/page/tgn/2111441,1885,The Zion Songster No. 1
1886-Carols-EMU,"United States, Georgia, Fulton, Atlanta;United States, Georgia, Walton",http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/2000438,1886,Carols of Grace
1886-Childr-EMU,"United States, Ohio, Hamilton, Cincinnati;United States, Texas, Dallas, Dallas",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013503,1886,The Children's Hallelujah
1890-Gospel-EMU,"United States, Warren, Mississippi, Vicksburg;United States, Georgia, Lamar, Barnesville",http://vocab.getty.edu/page/tgn/7018023;http://vocab.getty.edu/page/tgn/2022106,1890,Gospel Voices
1886-Greata-EMU,"United States, Georgia, Bartow, Cartersville;United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/2022361;http://vocab.getty.edu/page/tgn/7013604,1886,The Great Awakening
1886-Joyand-EMU,"United States, Illinois, Hamilton, McLeansboro;United States, Ohio, Columbiana, Moultrie",http://vocab.getty.edu/page/tgn/2028913;http://vocab.getty.edu/page/tgn/2080870,1886,Joy and Praise for Sunday-Schools
1886-Newli1-EMU,"United States, Tennessee, Davidson, Nashville;United States, Georgia, Newton, Oxford",http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2023840,1886,New Life
1886-Stream-EMU,"United States, Tennessee, Maury, Columbia",http://vocab.getty.edu/page/tgn/2098585,1886,Streams of Mercy
1887-Songs1-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1887,Songs of Glory No. 2
1887-Songs2-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1887,Songs of Gratitude
1888-Gesang-EMU,"http://id.loc.gov/authorities/names/n88080296;http://id.loc.gov/authorities/names/nr2002021683;Emory University;Pitts Theology Library;Hymnody Collection;36311574;United States, Ohio, Cuyahoga, Berea;United States, Kentucky, Kenton, Covington","United States, Wisconsin, Jefferson, Watertown;United States, Illinois, Jo Daviess, Galena;United States, New Jersey, Essex, Newark;United States, Illinois, Tazewell, Pekin;United States, Texas, Washington, Brenham;United States, Kansas, Rice;Germany, Hesse, Frankfurt am Main;http://vocab.getty.edu/page/tgn/7013385;http://vocab.getty.edu/page/tgn/7014762",1888,Gesangbuch der Bischo??flichen Methodisten-Kirche
1888-Hymnst-EMU,"United States, Georgia, Whitfield, Dalton",http://vocab.getty.edu/page/tgn/2022620,1888,"Hymns, Tunes and Gospel Songs"
1888-Ournew-EMU,"United States, Georgia, Elbert, Elberton",http://vocab.getty.edu/page/tgn/2022800,1888,Our New Book
1888-Royalp-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1888,Royal Praise for the Sunday School
