PID,ssdl:notation,location,Date,Long,Lati
1907-Bestof-EMU,,"Dayton, VA",1907,-78.9333,38.4
1907-Gospel-EMU,Round,"Cincinnati, OH;New York, NY",1907,-84.45;-74,39.15;40.7
1907-Himnar-EMU,,"Philadelphia, PA",1907,-75.15,39.95
1907-Hymnso-EMU,Round,"St. Louis, MO",1907,-90.1833,38.6167
1907-Specia-EMU,Seven-shape Aikin,"Chattanooga, TN;Meridian, MS",1907,-85.3;-88.7,35.0333;32.35
1907-Standa-EMU,Round,"Richmond, VA;Texarkana, TX, AR",1907,-77.45;-94.0333,37.55;33.4333
1907-Sunday-EMU,Round,"Atlanta, GA;Kansas City, MO",1907,-84.3833;-94.5667,33.7333;39.0833
1908-Chris1-EMU,Round,"Washington, D. C.",1908,-77,38.8333
1908-Victor-EMU,Round,"Cincinnati, OH;Chicago, IL;Kansas City, MO;San Francisco, CA;New York, NY;Boston, MA;Pittsburg, PA;Detroit, MI",1908,-84.45;-87.65;-94.5667;-122.4167;-74;-71.05;-79.9833;-83.0333,39.15;41.85;39.0833;37.7667;40.7;42.35;40.4333;42.3167
1909-Precio-EMU,Round,"Louisville, KY",1909,-85.75,38.25
1915-Worldw-EMU,Round,"Chicago, IL;Siloam Spring, AR;Los Angeles, CA",1915,-87.65;-94.5333;-118.2333,41.85;36.1833;34.05
1925-SaintH-EMU,Round,"New York, NY",1925,-74,40.7
1925-Songs2-EMU,Round;Seven-shape Aikin,"Springfield, MO",1925,-93.2833,37.2
1927-Spirit-EMU,Seven-shape Aikin,"Nashville, TN",1927,-86.761,36.154
1850-Sacred-EMU,Round,"Cincinnati, OH",1850,-84.45,39.15
1851-Songso-EMU,Nil,"Richmond, VA",1851,-77.45,37.55
1854-Outlin-EMU,Nil,"Richmond, VA;Louisville, KY",1854,-77.45;-85.75,37.55;38.25
1859-Psalms-EMU,Nil,"Nashville, TN",1859,-86.761,36.154
1868-Baptis-EMU,Nil,"Atlanta, GA",1868,-84.3833,33.7333
1889-Easte2-EMU,Round,,nan,0,0
1892-Zionsm-EMU,Seven-shape Aikin,"Fort Smith, AR",1892,-94.3833,35.3833
1894-Choice-EMU,Seven-shape Aikin,"Nashville, Tennessee",1894,-86.761,36.154
1900-Manual-EMU,Nil,"Washington, D. C.",1900,-77,38.8333
1901-Electr-EMU,Round,"Dayton, OH",1901,-84.1833,39.75
1901-Popula-EMU,Round,"St. Louis, MO;Indianapolis, IN",1901,-90.1833,38.6167
1901-Standa-EMU,Round,"Dalton, GA, Dallas, TX",1901,-84.9667;-96.8,34.7667;32.7833
1902-Crowni-EMU,Seven-shape Aikin,"Dayton, VA",1902,-78.9333,38.4
1902-Fillmo-EMU,Round,"Cincinnati, OH;New York, NY",1902,-84.45;-74,39.15;40.7
1902-Tearsa-EMU,Round,"Louisville, KY",1902,-85.75,38.25
1903-Bellso-EMU,Round,"Chattanooga, TN;Waco, TX",1903,-85.3;-97.1333,35.0333;31.5333
1903-Echoes-EMU,Round,"Boston, MA",1903,-71.05,42.35
1903-Nation-EMU,Round,"Nashville, TN",1903,-86.761,36.154
1903-Reviva-EMU,Round,"Atlanta, GA;Cincinnati, OH;Kansas City, MO",1903,-84.3833;-84.45;-94.5667,33.7333;39.15;39.0833
1904-Baptis-EMU,Round,"Nashville, TN",1904,-86.761,36.154
1904-Glorio-EMU,Round,"Philadelphia, PA; Boston, MA; New York, NY; Chicago, IL; St. Louis, MO; Dallas, TX; Atlanta, GA",1904,-75.15;-71.05;-74;-87.65;-90.1833;-96.8;-84.3833,39.95;42.35;40.7;41.85;38.6167;32.7833;33.7333
1905-Fillmo-EMU,Round,"Cincinnati, OH;New York, NY",1905,-84.45;-74,39.15;40.7
1905-Gloria-EMU,Round,"St. Louis, MO;Indianapolis, IN",1905,-90.1833;-86.15,38.6167;39.7667
1905-Method-EMU,Round,"Cincinnati, OH;New York, NY",1905,-84.45;-74,39.15;40.7
1905-Salvat-EMU,,"Dalton, GA; Dallas, TX; Ft. Recovery, OH; Dayton, OH",1905,-84.9667;-96.8;-84.7667;-84.1833,34.7667;32.7833;40.4;39.75
1907-Truthi-EMU,Round,"Anderson, IN",1907,-85.6667,40.1
1908-Alexa1-EMU,Round,"New York, NY; Chicago, IL; Toronto, Canada; London, England; Edinburgh, Scotland",1908,-74;-87.65;-79.4167;-.093145;-3.2,40.7;41.85;43.7;51.514248;55.95
1908-Alexa2-EMU,Round,"New York, NY; Philadelphia, PA",19xx,-74;-75.15,40.7;39.95
1908-Chris2-EMU,Round,"St. Louis, MO; Chicago, IL",1908,-90.1833;-87.65,38.6167;41.85
1908-Crowni-EMU,Round,"Waco, TX; Memphis, TN",1908,-97.1333;-90.0333,31.5333;35.1333
1908-Friend-EMU,Nil,"Baltimore, MD",1908,-76.6,39.2833
1908-Fullof-EMU,Round,"Wilmington, DE",1908,-75.5333,39.7333
1908-Hymnsa-EMU,Nil,"New York, NY; Cincinnati, OH",1908,-74;-84.45,40.7;39.15
1908-Joyand-EMU,Round,"Cincinnati, OH; New York, NY",19xx,-84.45;-74,39.15;40.7
1908-Oliver-EMU,Round,"Kansas City, MO",1908,-94.5667,39.0833
1908-Sbirka-EMU,,,nan,0,0
1908-Songso-EMU,,"Kansas City, MO",1908,-94.5667,39.0833
1912-Songso-EMU,Round;Seven-shape Aikin,"East Chattanooga, TN",1908,-85.3,35.0333
1908-Songse-EMU,Round,"Roanoke, VA;Cincinnati, OH",1908,-79.9333;-84.45,37.2667;39.15
1909-Christ-EMU,,,nan,0,0
1909-Method-EMU,Round,"Baltimore, MD; Pittsburgh, PA",1909,-76.6;-79.9833,39.2833;40.4333
1909-Newhym-EMU,Round,"Charlotte, NC; Philadelphia, PA",1909,-80.8333;-75.15,35.2167;39.95
1909-Servic-EMU,Round,"Cincinnati, OH",1909,-84.45,39.15
1909-Tillma-EMU,Seven-shape Aikin,"Atlanta, GA; Cincinnati, OH; Kansas City, MO",19xx,-84.3833;-84.45;-94.5667,33.7333;39.15;39.0833
1909-Unionh-EMU,Four-shape,"Douglasville, GA",1909,-84.7333,33.75
1909-Vaugha-EMU,Seven-shape Aikin,"Athens, GA",19xx,-83.3667,33.95
1910-Assemb-EMU,Round,"Richmond, VA; Texarkana, AR, TX",1910,-77.45;-94.0333,37.55;33.4333
1910-Exulta-EMU,Round,"Baltimore, MA",1910,-76.6,39.2833
1910-Missio-EMU,Nil,"Cincinnati, OH",1910,-84.45,39.15
1910-Reviva-EMU,Seven-shape Aikin,"Dayton, VA",1910,-78.9333,38.4
1910-Songsf-EMU,Round,"New York, NY;London, United Kingdom",1910,-74;.10203,40.7;51.52393
1910-Songst-EMU,Seven-shape Aikin,"Carrollton, GA",1910,-85.0667,33.5667
1910-Victor-EMU,,"Dayton, VA",1910,-78.9333,38.4
1911-Evange-EMU,,"St. Louis, MO",1911,-90.1833,38.6167
1911-Himnar-EMU,,"Nashville, TN",1911,-86.761,36.154
